關卡,名稱,屬性1,屬性2,HP,特性名稱,特性說明,招式1名稱,招式1威力,招式1消耗,招式1屬性,招式1異常,招式1機率,招式1特殊效果,招式2名稱,招式2威力,招式2消耗,招式2屬性,招式2異常,招式2機率,招式2特殊效果,招式3名稱,招式3威力,招式3消耗,招式3屬性,招式3異常,招式3機率,招式3特殊效果,招式4名稱,招式4威力,招式4消耗,招式4屬性,招式4異常,招式4機率,招式4特殊效果
第1關(弱),大比鳥,一般,飛行,220,牽制,25% 機率將受到的傷害減半,啄,21,2,飛行,,,Mega能量×2；下回合+6能量,疾風拳,22,2,一般,,,Mega能量×2；下回合+6能量,燕返,61,8,飛行,,,Mega能量×2；下回合+6能量,冥想,輔助,3,一般,,,輔助技能：下回合額外抽2張道具/競技場卡（另外+5能量）
第1關(弱),毒刺水母,水,毒,220,毒刺,受到攻擊後 20% 機率讓攻擊者中毒,集氣,輔助,3,水,,,輔助技能：下回合額外能量+9能量（另外+5能量）,毒液,32,4,毒,中毒,30%,Mega能量×2；下回合+7能量,衝浪,70,9,水,,,Mega能量×2；下回合+7能量,水砲,112,14,水,燒傷,25%,
第1關(弱),耿鬼,幽靈,毒,220,毒療,中毒時每回合回復 1/8 最大HP，而非扣血,催眠術,29,3,超能,睡眠,50%,Mega能量×2；下回合+6能量,幽靈之爪,30,3,幽靈,中毒,20%,Mega能量×2；下回合+6能量,暗影球,68,9,幽靈,,,Mega能量×2；下回合+7能量,影舞,輔助,2,幽靈,,,輔助技能：下次受擊50%機率完全閃避（另外+5能量）
第1關(弱),嘎啦嘎啦,地,,220,堅韌,自身帶有異常狀態時，攻擊傷害 ×1.3,集氣,輔助,3,地,,,輔助技能：下回合額外能量+9能量（另外+5能量）,喊叫,25,2,一般,,,Mega能量×2；下回合+6能量,地震,66,8,地,,,Mega能量×2；下回合+6能量,骨棒,103,14,地,,,回血25%
第1關(弱),巨牙鯊,水,惡,220,粗糙皮膚,受到攻擊傷害時，反彈攻擊者 1/8 最大HP 傷害,水槍,35,4,水,,,Mega能量×2；下回合+7能量,小偷,輔助,5,水,,,輔助技能：隨機搶對方一張手牌（另外+5能量）,衝浪,72,10,水,,,Mega能量×2；下回合+8能量,冰牙,117,14,冰,,,回血18%
第1關(弱),風鈴鈴,超能,,220,飄浮,受到電屬性攻擊時完全免疫，並回復 3 點能量,念力,21,2,超能,,,Mega能量×2；下回合+6能量,小偷,輔助,5,超能,,,輔助技能：隨機搶對方一張手牌（另外+5能量）,未來預知,59,8,超能,,,Mega能量×2；下回合+6能量,高周波音,99,13,一般,,,回血25%
第1關(弱),阿勃梭魯,惡,,220,超幸運,攻擊傷害固定 ×1.25,夜斬,28,4,惡,,,Mega能量×2；下回合+7能量,追影斬,27,4,惡,,,Mega能量×2；下回合+7能量,冥想,輔助,3,惡,,,輔助技能：下回合額外抽2張道具/競技場卡（另外+5能量）,暗黑脈衝,106,14,惡,,,回血26%
第1關(弱),護城龍,岩石,鋼,220,頑強,HP 全滿時，受到會直接擊倒的攻擊會保留 1 HP,金屬音,26,3,鋼,,,Mega能量×2；下回合+6能量,頭槌,27,2,一般,,,Mega能量×2；下回合+6能量,岩崩,60,8,岩石,,,Mega能量×2；下回合+6能量,撐住,輔助,5,岩石,,,輔助技能：任何血量下次不會被擊倒（另外+5能量）
第1關(弱),長耳兔,一般,,220,魅力,25% 機率將受到的傷害減半,連續拳,26,2,一般,,,Mega能量×2；下回合+6能量,高速星星拳,23,2,一般,,,Mega能量×2；下回合+6能量,高速旋轉踢,65,8,格鬥,,,Mega能量×2；下回合+6能量,電磁波,輔助,1,一般,麻痺,100%,輔助技能：使對方陷入異常狀態（另外+5能量）
第1關(弱),路卡利歐,格鬥,鋼,220,堅韌,自身帶有異常狀態時，攻擊傷害 ×1.3,擾亂精神,輔助,1,格鬥,混亂,100%,輔助技能：使對方陷入異常狀態（另外+5能量）,金屬爪,32,3,鋼,,,Mega能量×2；下回合+6能量,龍之脈動,66,8,龍,,,Mega能量×2；下回合+6能量,暗影球,110,14,幽靈,,,回血18%
第1關(弱),黑夜魔靈,幽靈,,220,壓迫感,上場時讓對方損失 3 點能量,暗影爪,30,3,幽靈,麻痺,20%,Mega能量×2；下回合+6能量,冰凍拳,30,3,冰,結凍,10%,Mega能量×2；下回合+6能量,幽靈球,64,8,幽靈,,,Mega能量×2；下回合+6能量,詭計,輔助,3,幽靈,,,輔助技能：下回合額外抽1張支援者卡（另外+5能量）
第1關(弱),甲賀忍蛙,水,惡,220,粗糙皮膚,受到攻擊傷害時，反彈攻擊者 1/8 最大HP 傷害,水手裏劍,26,3,水,,,Mega能量×2；下回合+6能量,夜斬,32,3,惡,,,Mega能量×2；下回合+6能量,暗影球,69,9,幽靈,,,Mega能量×2；下回合+7能量,電磁波,輔助,1,水,麻痺,100%,輔助技能：使對方陷入異常狀態（另外+5能量）
第1關(弱),超能妙喵,超能,,220,穿透,25% 機率將受到的傷害減半,念力,31,3,超能,,,Mega能量×2；下回合+6能量,毒粉,輔助,1,超能,中毒,100%,輔助技能：使對方陷入異常狀態（另外+5能量）,未來預知,67,9,超能,,,Mega能量×2；下回合+7能量,暗黑爆破,114,14,惡,睡眠,20%,
第1關(弱),蔥遊兵,格鬥,,220,背水之刃,HP 低於 50% 時，攻擊傷害 ×1.3,連續攻擊,26,3,一般,,,Mega能量×2；下回合+6能量,影舞,輔助,2,格鬥,,,輔助技能：下次受擊50%機率完全閃避（另外+5能量）,居合斬,63,8,格鬥,麻痺,15%,Mega能量×2；下回合+6能量,近身戰,101,13,格鬥,,,回血18%
第1關(弱),狠辣椒,草,火,220,不眠,不會陷入睡眠狀態,藤鞭,19,2,草,,,Mega能量×2；下回合+6能量,冥想,輔助,3,草,,,輔助技能：下回合額外抽2張道具/競技場卡（另外+5能量）,葉刃,58,8,草,,,Mega能量×2；下回合+6能量,大字爆炎,102,12,火,麻痺,20%,
第1關(弱),大食花,草,毒,230,葉綠素,HP 低於 1/3 時，本系招式傷害 ×1.5,劍舞,輔助,4,草,,,輔助技能：下次攻擊威力×1.5（另外+5能量）,毒液,38,4,毒,,,Mega能量×2；下回合+7能量,葉刃,74,9,草,,,Mega能量×2；下回合+7能量,污泥炸彈,118,15,毒,睡眠,20%,
第1關(弱),雷電獸,電,,230,靜電,受到攻擊後 20% 機率讓攻擊者陷入麻痺,電擊,40,5,電,,,Mega能量×2；下回合+8能量,集氣,輔助,3,電,,,輔助技能：下回合額外能量+9能量（另外+5能量）,十萬伏特,73,10,電,,,Mega能量×2；下回合+8能量,火焰牙,117,15,火,,,回血26%
第1關(弱),太陽岩,岩石,超能,230,硬岩,受到剋制（×2以上）的攻擊傷害再減少 25%,夜襲,34,4,惡,,,Mega能量×2；下回合+7能量,念力,34,4,超能,,,Mega能量×2；下回合+7能量,岩石炮,74,10,岩石,,,Mega能量×2；下回合+8能量,灼熱,輔助,1,岩石,燒傷,100%,輔助技能：使對方陷入異常狀態（另外+5能量）
第1關(弱),毒骷蛙,格鬥,毒,230,乾燥皮膚,受到水屬性攻擊時完全免疫，並回復最大HP的1/4,毒粉,輔助,1,格鬥,中毒,100%,輔助技能：使對方陷入異常狀態（另外+5能量）,突擊,39,4,惡,,,Mega能量×2；下回合+7能量,十字劈,74,9,格鬥,,,Mega能量×2；下回合+7能量,近身戰,119,14,格鬥,,,回血27%
第1關(弱),遠古巨蜓,蟲,飛行,230,有色眼鏡,效果不佳的攻擊，威力恢復正常,空氣斬,35,4,飛行,混亂,20%,Mega能量×2；下回合+7能量,催眠術,輔助,1,蟲,睡眠,100%,輔助技能：使對方陷入異常狀態（另外+5能量）,蟲鳴,70,9,蟲,,,Mega能量×2；下回合+7能量,颶風,115,14,飛行,,,回血25%
第1關(弱),掘地兔,一般,地,230,大力士,攻擊傷害固定 ×1.25,砂子攻擊,36,5,地,,,Mega能量×2；下回合+8能量,小偷,輔助,5,一般,,,輔助技能：隨機搶對方一張手牌（另外+5能量）,地震,74,9,地,,,Mega能量×2；下回合+7能量,岩崩,116,14,岩石,,,回血21%
第1關(弱),摔角鷹人,格鬥,飛行,230,輕盈,HP 低於 50% 時，攻擊傷害 ×1.3,空手劈,39,5,格鬥,,,Mega能量×2；下回合+8能量,詭計,輔助,3,格鬥,,,輔助技能：下回合額外抽1張支援者卡（另外+5能量）,近身戰,73,10,格鬥,,,Mega能量×2；下回合+8能量,空氣斬,120,15,飛行,中毒,30%,
第1關(弱),列陣兵,格鬥,,230,戰鬥盔甲,HP 全滿時，受到會直接擊倒的攻擊會保留 1 HP,空手劈,38,5,格鬥,,,Mega能量×2；下回合+8能量,詭計,輔助,3,格鬥,,,輔助技能：下回合額外抽1張支援者卡（另外+5能量）,近身戰,73,10,格鬥,,,Mega能量×2；下回合+8能量,超強衝擊,120,15,格鬥,,,回血18%
第1關(弱),穿山王,地,,240,威嚇,上場時讓對方下一次攻擊傷害 ×0.5,灼熱,輔助,1,地,燒傷,100%,輔助技能：使對方陷入異常狀態（另外+5能量）,地震,53,6,地,,,Mega能量×2；下回合+4能量,岩石碎裂,50,6,岩石,,,Mega能量×2；下回合+4能量,岩石滑落,90,11,岩石,睡眠,20%,
第1關(弱),白海獅,水,冰,240,厚脂肪,受到火／冰屬性攻擊傷害 ×0.6,冷凍光線,11,1,冰,結凍,15%,Mega能量×2；下回合+5能量,集氣,輔助,3,水,,,輔助技能：下回合額外能量+9能量（另外+5能量）,大浪,53,6,水,,,Mega能量×2；下回合+4能量,衝浪,93,11,水,混亂,25%,
第1關(弱),肯泰羅,一般,,240,威嚇,上場時讓對方下一次攻擊傷害 ×0.5,橫衝直撞,12,1,一般,混亂,20%,Mega能量×2；下回合+5能量,撐住,輔助,5,一般,,,輔助技能：任何血量下次不會被擊倒（另外+5能量）,地震,51,7,地,,,Mega能量×2；下回合+5能量,強力碰撞,96,12,一般,,,回血21%
第1關(弱),爆音怪,一般,,240,隔音,25% 機率將受到的傷害減半,冥想,輔助,3,一般,,,輔助技能：下回合額外抽2張道具/競技場卡（另外+5能量）,噴火,52,6,火,燒傷,20%,Mega能量×2；下回合+4能量,衝浪,50,6,水,,,Mega能量×2；下回合+4能量,破壞光線,90,11,一般,麻痺,20%,
第1關(弱),姆克鷹,一般,飛行,240,威嚇,上場時讓對方下一次攻擊傷害 ×0.5,燕返,14,0,一般,,,Mega能量×2；下回合+4能量,衝撞,51,6,一般,,,Mega能量×2；下回合+4能量,冥想,輔助,3,一般,,,輔助技能：下回合額外抽2張道具/競技場卡（另外+5能量）,勇鳥猛衝,93,12,飛行,,,回血25%
第1關(弱),長毛狗,一般,,240,背水之刃,HP 低於 50% 時，攻擊傷害 ×1.3,咬住,10,0,一般,,,Mega能量×2；下回合+4能量,吼叫,50,6,一般,,,Mega能量×2；下回合+4能量,詭計,輔助,3,一般,,,輔助技能：下回合額外抽1張支援者卡（另外+5能量）,火焰牙,52,7,火,燒傷,15%,Mega能量×2；下回合+5能量
第1關(弱),岩殿居蟹,蟲,岩石,240,頑強,HP 全滿時，受到會直接擊倒的攻擊會保留 1 HP,蟲咬,12,0,蟲,,,Mega能量×2；下回合+4能量,灼熱,輔助,1,蟲,燒傷,100%,輔助技能：使對方陷入異常狀態（另外+5能量）,岩石封鎖,55,7,岩石,,,Mega能量×2；下回合+5能量,X 剪刀,95,12,蟲,燒傷,25%,
第1關(弱),頭巾混混,惡,格鬥,240,蛻皮,自身帶有異常狀態時，攻擊傷害 ×1.3,小偷,輔助,5,惡,,,輔助技能：隨機搶對方一張手牌（另外+5能量）,惡意彈珠,53,7,惡,,,Mega能量×2；下回合+5能量,近身戰,51,7,格鬥,,,Mega能量×2；下回合+5能量,暗黑爆破,95,11,惡,結凍,15%,
第1關(弱),妙蛙花,草,毒,250,茂盛,HP 低於 1/3 時，本系招式傷害 ×1.5,集氣,輔助,3,草,,,輔助技能：下回合額外能量+9能量（另外+5能量）,毒粉刺,54,7,毒,中毒,35%,Mega能量×2；下回合+5能量,葉刃,53,7,草,,,Mega能量×2；下回合+5能量,大地之力,94,12,地,燒傷,25%,
第1關(弱),鐵掌力士,格鬥,,250,厚脂肪,受到火／冰屬性攻擊傷害 ×0.6,壓制,15,1,一般,,,Mega能量×2；下回合+5能量,近身戰,54,7,格鬥,,,Mega能量×2；下回合+5能量,豪腕,95,12,格鬥,,,回血22%,集氣,輔助,3,格鬥,,,輔助技能：下回合額外能量+9能量（另外+5能量）
第1關(弱),鋼鎧鴉,鋼,飛行,250,壓迫感,上場時讓對方損失 3 點能量,鐵翼,17,1,鋼,,,Mega能量×2；下回合+5能量,鋼鐵身壓,54,7,鋼,,,Mega能量×2；下回合+5能量,小偷,輔助,5,鋼,,,輔助技能：隨機搶對方一張手牌（另外+5能量）,颶風飛翔,92,12,飛行,,,回血28%
第1關(弱),怪力,格鬥,,260,毅力,自身帶有異常狀態時，攻擊傷害 ×1.3,動感拳,23,2,格鬥,,,Mega能量×2；下回合+6能量,岩石滑落,62,7,岩石,麻痺,15%,Mega能量×2；下回合+5能量,詭計,輔助,3,格鬥,,,輔助技能：下回合額外抽1張支援者卡（另外+5能量）,超強衝擊,105,12,格鬥,,,回血21%
第1關(弱),呆殼獸,水,超能,260,我行我素,不會陷入混亂狀態,衝浪,23,2,水,,,Mega能量×2；下回合+6能量,精神強擊,58,7,超能,混亂,20%,Mega能量×2；下回合+5能量,冰凍吐息,輔助,1,水,結凍,100%,輔助技能：使對方陷入異常狀態（另外+5能量）,念力,99,13,超能,混亂,25%,
第1關(弱),暴鯉龍,水,飛行,260,威嚇,上場時讓對方下一次攻擊傷害 ×0.5,撐住,輔助,5,水,,,輔助技能：任何血量下次不會被擊倒（另外+5能量）,龍息,64,8,龍,,,Mega能量×2；下回合+6能量,怒風,63,8,飛行,,,Mega能量×2；下回合+6能量,咬碎,107,13,惡,睡眠,20%,
第1關(弱),水伊布,水,,260,儲水,受到水屬性攻擊時完全免疫，並回復最大HP的1/4,水槍,24,3,水,,,Mega能量×2；下回合+6能量,迴旋踢,65,8,格鬥,,,Mega能量×2；下回合+6能量,撐住,輔助,5,水,,,輔助技能：任何血量下次不會被擊倒（另外+5能量）,冰凍光束,67,9,冰,結凍,15%,Mega能量×2；下回合+7能量
第1關(弱),大力鱷,水,,260,激流,HP 低於 1/3 時，本系招式傷害 ×1.5,冥想,輔助,3,水,,,輔助技能：下回合額外抽2張道具/競技場卡（另外+5能量）,冰凍拳,61,8,冰,結凍,10%,Mega能量×2；下回合+6能量,衝浪,57,7,水,,,Mega能量×2；下回合+5能量,水砲,102,12,水,麻痺,20%,
第1關(弱),巨金怪,鋼,超能,260,硬岩,受到剋制（×2以上）的攻擊傷害再減少 25%,子彈拳,30,3,鋼,,,Mega能量×2；下回合+6能量,劍舞,輔助,4,鋼,,,輔助技能：下次攻擊威力×1.5（另外+5能量）,閃光炮,70,8,鋼,,,Mega能量×2；下回合+6能量,隕石衝擊,113,13,岩石,,,回血25%
第2關(中),風速狗,火,,260,威嚇,上場時讓對方下一次攻擊傷害 ×0.5,夜斬,22,1,惡,,,Mega能量×2；下回合+5能量,影舞,輔助,2,火,,,輔助技能：下次受擊50%機率完全閃避（另外+5能量）,衝撞,60,7,一般,,,Mega能量×2；下回合+5能量,噴射火焰,97,12,火,燒傷,25%,
第2關(中),化石翼龍,岩石,飛行,260,壓迫感,上場時讓對方損失 3 點能量,咬碎,32,4,惡,混亂,15%,Mega能量×2；下回合+7能量,翼擊,69,8,飛行,,,Mega能量×2；下回合+6能量,撐住,輔助,5,岩石,,,輔助技能：任何血量下次不會被擊倒（另外+5能量）,岩石炮,110,14,岩石,,,回血20%
第2關(中),火爆獸,火,,260,猛火,HP 低於 1/3 時，本系招式傷害 ×1.5,詭計,輔助,3,火,,,輔助技能：下回合額外抽1張支援者卡（另外+5能量）,地震,61,9,地,,,Mega能量×2；下回合+7能量,爆炸火焰,64,9,火,,,Mega能量×2；下回合+7能量,烈火強衝,106,13,火,中毒,30%,
第2關(中),巨鉗螳螂,蟲,鋼,260,蟲之預感,HP 低於 1/3 時，本系招式傷害 ×1.5,影舞,輔助,2,蟲,,,輔助技能：下次受擊50%機率完全閃避（另外+5能量）,子彈拳,59,8,鋼,,,Mega能量×2；下回合+6能量,蟲刃剪,59,7,蟲,,,Mega能量×2；下回合+5能量,鐵頭功,100,12,鋼,,,回血23%
第2關(中),蜥蜴王,草,,260,茂盛,HP 低於 1/3 時，本系招式傷害 ×1.5,電球,19,2,電,麻痺,15%,Mega能量×2；下回合+6能量,能量球,61,8,草,混亂,15%,Mega能量×2；下回合+6能量,大地之力,59,7,地,,,Mega能量×2；下回合+5能量,冥想,輔助,3,草,,,輔助技能：下回合額外抽2張道具/競技場卡（另外+5能量）
第2關(中),火焰雞,火,格鬥,260,猛火,HP 低於 1/3 時，本系招式傷害 ×1.5,踢腿,29,4,格鬥,,,Mega能量×2；下回合+7能量,火花,65,9,火,,,Mega能量×2；下回合+7能量,烈焰衝浪腳,68,9,火,,,Mega能量×2；下回合+7能量,小偷,輔助,5,火,,,輔助技能：隨機搶對方一張手牌（另外+5能量）
第2關(中),噴火駝,火,地,260,硬岩,受到剋制（×2以上）的攻擊傷害再減少 25%,火花,29,3,火,,,Mega能量×2；下回合+6能量,泥巴射擊,67,8,地,,,Mega能量×2；下回合+6能量,集氣,輔助,3,火,,,輔助技能：下回合額外能量+9能量（另外+5能量）,地震,109,13,地,睡眠,20%,
第2關(中),冰鬼護,冰,,260,冰凍之軀,受到火／冰屬性攻擊傷害 ×0.6,冰霜拳,22,3,冰,,,Mega能量×2；下回合+6能量,影舞,輔助,2,冰,,,輔助技能：下次受擊50%機率完全閃避（另外+5能量）,冰凍光束,60,8,冰,,,Mega能量×2；下回合+6能量,雪崩,106,13,冰,,,回血20%
第2關(中),艾路雷朵,超能,格鬥,260,不屈之心,自身帶有異常狀態時，攻擊傷害 ×1.3,空手劈,21,3,格鬥,,,Mega能量×2；下回合+6能量,念力,59,8,超能,,,Mega能量×2；下回合+6能量,影舞,輔助,2,超能,,,輔助技能：下次受擊50%機率完全閃避（另外+5能量）,近身戰,103,13,格鬥,麻痺,20%,
第2關(中),蜈蚣王,蟲,毒,260,毒刺,受到攻擊後 20% 機率讓攻擊者中毒,連續啃咬,23,1,蟲,,,Mega能量×2；下回合+5能量,小偷,輔助,5,蟲,,,輔助技能：隨機搶對方一張手牌（另外+5能量）,百萬針,61,8,蟲,,,Mega能量×2；下回合+6能量,污泥炸彈,101,13,毒,結凍,15%,
第2關(中),水晶燈火靈,幽靈,火,260,引火,受到火屬性攻擊時完全免疫，下次攻擊威力 +20,小偷,輔助,5,幽靈,,,輔助技能：隨機搶對方一張手牌（另外+5能量）,噴火,56,7,火,燒傷,25%,Mega能量×2；下回合+5能量,火焰漩渦,59,8,火,燒傷,20%,Mega能量×2；下回合+6能量,暗影球,98,12,幽靈,混亂,25%,
第2關(中),妖火紅狐,火,超能,260,猛火,HP 低於 1/3 時，本系招式傷害 ×1.5,火花,30,3,火,,,Mega能量×2；下回合+6能量,念力,68,8,超能,,,Mega能量×2；下回合+6能量,影舞,輔助,2,火,,,輔助技能：下次受擊50%機率完全閃避（另外+5能量）,未來預知,106,14,超能,混亂,25%,
第2關(中),烈箭鷹,火,飛行,260,火焰之軀,受到攻擊後 20% 機率讓攻擊者陷入燒傷,炎翼衝刺,27,3,火,燒傷,20%,Mega能量×2；下回合+6能量,空氣斬,65,9,飛行,混亂,20%,Mega能量×2；下回合+7能量,劍舞,輔助,4,火,,,輔助技能：下次攻擊威力×1.5（另外+5能量）,勇鳥猛衝,109,14,飛行,,,回血20%
第2關(中),烏賊王,惡,超能,260,唱反調,攻擊傷害固定 ×1.25,惡意彈珠,24,2,惡,,,Mega能量×2；下回合+6能量,念力,65,8,超能,,,Mega能量×2；下回合+6能量,集氣,輔助,3,惡,,,輔助技能：下回合額外能量+9能量（另外+5能量）,未來預知,101,13,超能,,,回血21%
第2關(中),龜足巨鎧,岩石,水,260,硬爪,攻擊傷害 ×1.3,岩石滑落,25,3,岩石,,,Mega能量×2；下回合+6能量,冥想,輔助,3,岩石,,,輔助技能：下回合額外抽2張道具/競技場卡（另外+5能量）,石刃,66,8,岩石,,,Mega能量×2；下回合+6能量,衝浪,110,14,水,,,回血21%
第2關(中),毒藻龍,毒,龍,260,毒刺,受到攻擊後 20% 機率讓攻擊者中毒,毒液,31,4,毒,,,Mega能量×2；下回合+7能量,詭計,輔助,3,毒,,,輔助技能：下回合額外抽1張支援者卡（另外+5能量）,污泥炸彈,70,9,毒,,,Mega能量×2；下回合+7能量,龍之波動,112,14,龍,,,回血15%
第2關(中),晶光花,岩石,毒,260,毒素碎片,受到攻擊後 20% 機率讓攻擊者中毒,岩石滑落,20,1,岩石,,,Mega能量×2；下回合+5能量,毒液,59,7,毒,,,Mega能量×2；下回合+5能量,冥想,輔助,3,岩石,,,輔助技能：下回合額外抽2張道具/競技場卡（另外+5能量）,污泥炸彈,97,12,毒,結凍,15%,
第2關(中),寶石海星,水,超能,270,神秘之守,25% 機率將受到的傷害減半,水槍,40,5,水,,,Mega能量×2；下回合+8能量,念力,74,10,超能,,,Mega能量×2；下回合+8能量,集氣,輔助,3,水,,,輔助技能：下回合額外能量+9能量（另外+5能量）,精神強擊,120,15,超能,,,回血15%
第2關(中),大竺葵,草,,270,茂盛,HP 低於 1/3 時，本系招式傷害 ×1.5,詭計,輔助,3,草,,,輔助技能：下回合額外抽1張支援者卡（另外+5能量）,大地之力,73,10,地,,,Mega能量×2；下回合+8能量,花瓣風暴,72,9,草,,,Mega能量×2；下回合+7能量,葉刃,115,15,草,麻痺,20%,
